レポート開始日,レポート終了日,キャンペーン名,年齢,性別,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-09-01,2026-09-30,認知_動画,18-24,female,21693,reach,21693,46302,28805,222,398,1,7558
2026-09-01,2026-09-30,認知_動画,18-24,male,11951,reach,11951,25509,15869,100,180,1,2555
2026-09-01,2026-09-30,認知_動画,18-24,unknown,1652,reach,1652,3526,2194,12,22,,279
2026-09-01,2026-09-30,認知_動画,25-34,female,55745,reach,55745,118984,74020,569,1024,5,30752
2026-09-01,2026-09-30,認知_動画,25-34,male,23802,reach,23802,50804,31606,199,358,1,7916
2026-09-01,2026-09-30,認知_動画,25-34,unknown,2319,reach,2319,4949,3079,17,31,,588
2026-09-01,2026-09-30,認知_動画,35-44,female,78333,reach,78333,167197,104014,764,1373,9,56445
2026-09-01,2026-09-30,認知_動画,35-44,male,30233,reach,30233,64531,40145,267,479,2,13646
2026-09-01,2026-09-30,認知_動画,35-44,unknown,2267,reach,2267,4840,3011,17,30,,670
2026-09-01,2026-09-30,認知_動画,45-54,female,61499,reach,61499,131265,81660,571,1027,7,43827
2026-09-01,2026-09-30,認知_動画,45-54,male,29052,reach,29052,62009,38576,256,461,2,13841
2026-09-01,2026-09-30,認知_動画,45-54,unknown,2195,reach,2195,4686,2915,16,29,,649
2026-09-01,2026-09-30,認知_動画,55-64,female,33247,reach,33247,70964,44147,293,527,3,18341
2026-09-01,2026-09-30,認知_動画,55-64,male,13393,reach,13393,28586,17784,112,201,1,5090
2026-09-01,2026-09-30,認知_動画,55-64,unknown,1129,reach,1129,2409,1498,8,15,,286
2026-09-01,2026-09-30,認知_動画,65+,female,12901,reach,12901,27538,17131,108,194,1,5517
2026-09-01,2026-09-30,認知_動画,65+,male,8562,reach,8562,18276,11369,68,121,1,2689
2026-09-01,2026-09-30,認知_動画,65+,unknown,871,reach,871,1859,1156,6,12,,184
