レポート開始日,レポート終了日,キャンペーン名,広告セット名,広告名,日,結果,結果インジケーター,リーチ,フリークエンシー,インプレッション,消化金額 (JPY),結果の単価,リンクのクリック,CTR(リンククリックスルー率),クリック(すべて),"CPM(1,000インプレッション単価) (JPY)",CPC(リンククリックの単価) (JPY),ランディングページビュー,購入,購入のコンバージョン値,購入ROAS(広告費用対効果),動画の3秒再生数,ThruPlay,アトリビューション設定
2026-08-11,2026-08-11,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-11,1,actions:offsite_conversion.fb_pixel_purchase,3775,1.18,4463,6458,6458.00,69,1.55,121,1447.01,93.59,51,1,6837,1.06,1004,415,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-12,1,actions:offsite_conversion.fb_pixel_purchase,3842,1.13,4344,5790,5790.00,62,1.43,119,1332.87,93.39,51,1,6470,1.12,966,367,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,3931,1.23,4817,6878,6878.00,71,1.47,119,1427.86,96.87,56,1,7683,1.12,1088,295,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,4105,1.10,4501,6915,6915.00,74,1.64,120,1536.33,93.45,56,1,6382,0.92,936,417,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-15,2,actions:offsite_conversion.fb_pixel_purchase,3911,1.25,4872,7384,3692.00,66,1.35,108,1515.60,111.88,49,2,16171,2.19,1206,389,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-16,1,actions:offsite_conversion.fb_pixel_purchase,3880,1.16,4516,6542,6542.00,57,1.26,98,1448.63,114.77,42,1,5842,0.89,961,366,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-17,1,actions:offsite_conversion.fb_pixel_purchase,3518,1.12,3929,5627,5627.00,52,1.32,98,1432.17,108.21,38,1,6499,1.15,1125,336,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-18,2,actions:offsite_conversion.fb_pixel_purchase,3188,1.11,3525,5500,2750.00,48,1.36,94,1560.28,114.58,37,2,13212,2.40,940,213,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-19,2,actions:offsite_conversion.fb_pixel_purchase,3351,1.17,3906,5660,2830.00,52,1.33,95,1449.05,108.85,45,2,15165,2.68,970,380,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-20,1,actions:offsite_conversion.fb_pixel_purchase,3436,1.17,4012,6172,6172.00,46,1.15,81,1538.38,134.17,34,1,6391,1.04,1045,321,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-21,2,actions:offsite_conversion.fb_pixel_purchase,4591,1.10,5060,6974,3487.00,59,1.17,104,1378.26,118.20,52,2,13869,1.99,1315,432,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-22,1,actions:offsite_conversion.fb_pixel_purchase,4395,1.06,4650,6961,6961.00,55,1.18,89,1496.99,126.56,44,1,6466,0.93,1254,304,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-23,1,actions:offsite_conversion.fb_pixel_purchase,3629,1.11,4043,6153,6153.00,48,1.19,77,1521.89,128.19,36,1,6161,1.00,913,276,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-24,1,actions:offsite_conversion.fb_pixel_purchase,3500,1.25,4361,6068,6068.00,71,1.63,119,1391.42,85.46,55,1,5999,0.99,1058,265,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-25,1,actions:offsite_conversion.fb_pixel_purchase,4231,1.19,5047,6840,6840.00,61,1.21,99,1355.26,112.13,53,1,5893,0.86,1185,486,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-26,2,actions:offsite_conversion.fb_pixel_purchase,4000,1.11,4434,6396,3198.00,55,1.24,109,1442.49,116.29,48,2,11630,1.82,1008,344,7日間のクリックまたは1日間のビュー
2026-08-27,2026-08-27,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-27,1,actions:offsite_conversion.fb_pixel_purchase,3090,1.25,3850,5806,5806.00,55,1.43,100,1508.05,105.56,43,1,5951,1.02,811,307,7日間のクリックまたは1日間のビュー
2026-08-28,2026-08-28,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-28,1,actions:offsite_conversion.fb_pixel_purchase,3791,1.21,4591,6303,6303.00,75,1.63,146,1372.90,84.04,66,1,6158,0.98,1216,324,7日間のクリックまたは1日間のビュー
2026-08-29,2026-08-29,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-29,2,actions:offsite_conversion.fb_pixel_purchase,4205,1.08,4547,7010,3505.00,75,1.65,133,1541.68,93.47,56,2,11648,1.66,968,323,7日間のクリックまたは1日間のビュー
2026-08-30,2026-08-30,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-30,2,actions:offsite_conversion.fb_pixel_purchase,4332,1.06,4604,7140,3570.00,60,1.30,112,1550.83,119.00,48,2,13226,1.85,1335,353,7日間のクリックまたは1日間のビュー
2026-08-31,2026-08-31,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-31,1,actions:offsite_conversion.fb_pixel_purchase,3414,1.07,3658,5815,5815.00,58,1.59,112,1589.67,100.26,45,1,6621,1.14,912,276,7日間のクリックまたは1日間のビュー
2026-08-01,2026-08-01,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-01,2,actions:offsite_conversion.fb_pixel_purchase,4236,1.24,5243,8120,4060.00,59,1.13,95,1548.73,137.63,45,2,14262,1.76,,,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-02,2,actions:offsite_conversion.fb_pixel_purchase,3495,1.24,4348,5913,2956.50,46,1.06,86,1359.94,128.54,39,2,15672,2.65,,,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-03,2,actions:offsite_conversion.fb_pixel_purchase,4073,1.13,4615,6533,3266.50,55,1.19,88,1415.60,118.78,48,2,16088,2.46,,,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-04,1,actions:offsite_conversion.fb_pixel_purchase,3716,1.07,3974,6262,6262.00,46,1.16,74,1575.74,136.13,36,1,6745,1.08,,,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-05,1,actions:offsite_conversion.fb_pixel_purchase,3886,1.24,4816,6627,6627.00,47,0.98,78,1376.04,141.00,38,1,6029,0.91,,,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-06,1,actions:offsite_conversion.fb_pixel_purchase,3805,1.13,4318,6314,6314.00,36,0.83,58,1462.25,175.39,29,1,7931,1.26,,,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-07,1,actions:offsite_conversion.fb_pixel_purchase,3369,1.17,3943,5676,5676.00,40,1.01,73,1439.51,141.90,31,1,6052,1.07,,,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-08,1,actions:offsite_conversion.fb_pixel_purchase,3822,1.08,4111,6036,6036.00,40,0.97,65,1468.26,150.90,30,1,5908,0.98,,,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-09,1,actions:offsite_conversion.fb_pixel_purchase,3562,1.10,3911,6054,6054.00,46,1.18,76,1547.94,131.61,39,1,7922,1.31,,,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-10,1,actions:offsite_conversion.fb_pixel_purchase,3680,1.19,4372,6931,6931.00,42,0.96,70,1585.32,165.02,31,1,7632,1.10,,,7日間のクリックまたは1日間のビュー
2026-08-11,2026-08-11,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-11,1,actions:offsite_conversion.fb_pixel_purchase,3436,1.16,3989,5826,5826.00,38,0.95,73,1460.52,153.32,28,1,7472,1.28,,,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-12,1,actions:offsite_conversion.fb_pixel_purchase,4035,1.09,4394,6135,6135.00,44,1.00,76,1396.22,139.43,35,1,7493,1.22,,,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,3507,1.19,4171,6366,6366.00,36,0.86,71,1526.25,176.83,30,1,8001,1.26,,,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,4013,1.11,4462,6755,6755.00,42,0.94,76,1513.90,160.83,36,1,6039,0.89,,,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-15,1,actions:offsite_conversion.fb_pixel_purchase,4083,1.15,4684,7135,7135.00,46,0.98,81,1523.27,155.11,40,1,7057,0.99,,,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-16,2,actions:offsite_conversion.fb_pixel_purchase,3975,1.21,4790,6553,3276.50,53,1.11,85,1368.06,123.64,39,2,13385,2.04,,,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-17,1,actions:offsite_conversion.fb_pixel_purchase,3954,1.18,4648,6863,6863.00,50,1.08,99,1476.55,137.26,38,1,7178,1.05,,,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-18,2,actions:offsite_conversion.fb_pixel_purchase,4257,1.15,4907,6943,3471.50,52,1.06,89,1414.92,133.52,40,2,14430,2.08,,,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-19,1,actions:offsite_conversion.fb_pixel_purchase,3705,1.07,3950,5937,5937.00,40,1.01,74,1503.04,148.43,34,1,6920,1.17,,,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-20,1,actions:offsite_conversion.fb_pixel_purchase,3353,1.09,3666,5548,5548.00,35,0.95,66,1513.37,158.51,31,1,8081,1.46,,,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-21,1,actions:offsite_conversion.fb_pixel_purchase,3388,1.13,3818,5639,5639.00,46,1.20,76,1476.95,122.59,38,1,7956,1.41,,,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-22,2,actions:offsite_conversion.fb_pixel_purchase,5430,1.08,5880,7926,3963.00,49,0.83,85,1347.96,161.76,36,2,15188,1.92,,,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-23,2,actions:offsite_conversion.fb_pixel_purchase,3867,1.22,4727,6818,3409.00,50,1.06,81,1442.35,136.36,36,2,13164,1.93,,,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-24,,actions:offsite_conversion.fb_pixel_purchase,3185,1.12,3563,5607,,31,0.87,52,1573.67,180.87,27,,,,,,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-25,2,actions:offsite_conversion.fb_pixel_purchase,3931,1.18,4622,6611,3305.50,54,1.17,88,1430.33,122.43,44,2,13595,2.06,,,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-26,1,actions:offsite_conversion.fb_pixel_purchase,2998,1.21,3620,5458,5458.00,39,1.08,70,1507.73,139.95,33,1,6665,1.22,,,7日間のクリックまたは1日間のビュー
2026-08-27,2026-08-27,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-27,1,actions:offsite_conversion.fb_pixel_purchase,3999,1.14,4571,6245,6245.00,51,1.12,87,1366.22,122.45,40,1,6596,1.06,,,7日間のクリックまたは1日間のビュー
2026-08-28,2026-08-28,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-28,1,actions:offsite_conversion.fb_pixel_purchase,3931,1.19,4690,7259,7259.00,46,0.98,89,1547.76,157.80,35,1,7314,1.01,,,7日間のクリックまたは1日間のビュー
2026-08-29,2026-08-29,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-29,2,actions:offsite_conversion.fb_pixel_purchase,3911,1.18,4613,6936,3468.00,53,1.15,104,1503.58,130.87,43,2,14339,2.07,,,7日間のクリックまたは1日間のビュー
2026-08-30,2026-08-30,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-30,1,actions:offsite_conversion.fb_pixel_purchase,3489,1.21,4219,6235,6235.00,51,1.21,84,1477.84,122.25,45,1,7397,1.19,,,7日間のクリックまたは1日間のビュー
2026-08-31,2026-08-31,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_静止画_レビュー訴求,2026-08-31,2,actions:offsite_conversion.fb_pixel_purchase,4160,1.22,5095,6690,3345.00,57,1.12,113,1313.05,117.37,43,2,12600,1.88,,,7日間のクリックまたは1日間のビュー
2026-08-01,2026-08-01,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-01,1,actions:offsite_conversion.fb_pixel_purchase,3950,1.24,4881,6579,6579.00,56,1.15,106,1347.88,117.48,46,1,6009,0.91,,,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-02,1,actions:offsite_conversion.fb_pixel_purchase,3826,1.13,4310,6771,6771.00,46,1.07,84,1571.00,147.20,37,1,7448,1.10,,,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-03,1,actions:offsite_conversion.fb_pixel_purchase,3479,1.08,3747,5633,5633.00,43,1.15,79,1503.34,131.00,34,1,7566,1.34,,,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-04,1,actions:offsite_conversion.fb_pixel_purchase,3069,1.24,3793,5669,5669.00,45,1.19,89,1494.60,125.98,37,1,6238,1.10,,,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-05,1,actions:offsite_conversion.fb_pixel_purchase,3855,1.23,4757,7111,7111.00,53,1.11,104,1494.85,134.17,39,1,7502,1.05,,,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-06,1,actions:offsite_conversion.fb_pixel_purchase,3510,1.13,3970,5478,5478.00,39,0.98,64,1379.85,140.46,34,1,7897,1.44,,,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-07,1,actions:offsite_conversion.fb_pixel_purchase,3720,1.17,4351,6250,6250.00,42,0.97,70,1436.45,148.81,33,1,8110,1.30,,,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-08,1,actions:offsite_conversion.fb_pixel_purchase,3903,1.14,4467,6134,6134.00,43,0.96,69,1373.18,142.65,32,1,5819,0.95,,,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-09,1,actions:offsite_conversion.fb_pixel_purchase,4241,1.06,4487,6757,6757.00,52,1.16,87,1505.91,129.94,45,1,5965,0.88,,,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-10,1,actions:offsite_conversion.fb_pixel_purchase,3919,1.25,4882,7123,7123.00,63,1.29,106,1459.03,113.06,52,1,7866,1.10,,,7日間のクリックまたは1日間のビュー
2026-08-11,2026-08-11,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-11,2,actions:offsite_conversion.fb_pixel_purchase,3972,1.17,4631,6174,3087.00,62,1.34,111,1333.19,99.58,50,2,15163,2.46,,,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-12,1,actions:offsite_conversion.fb_pixel_purchase,4165,1.11,4617,6974,6974.00,63,1.36,118,1510.50,110.70,50,1,7133,1.02,,,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,3051,1.15,3494,5384,5384.00,37,1.06,66,1540.93,145.51,28,1,6075,1.13,,,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,3593,1.06,3817,5621,5621.00,42,1.10,73,1472.62,133.83,31,1,7390,1.31,,,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-15,1,actions:offsite_conversion.fb_pixel_purchase,3613,1.17,4220,6367,6367.00,47,1.11,78,1508.77,135.47,38,1,7170,1.13,,,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-16,1,actions:offsite_conversion.fb_pixel_purchase,4998,1.09,5425,7188,7188.00,67,1.24,128,1324.98,107.28,59,1,7461,1.04,,,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-17,1,actions:offsite_conversion.fb_pixel_purchase,4610,1.11,5097,7102,7102.00,67,1.31,117,1393.37,106.00,54,1,7554,1.06,,,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-18,1,actions:offsite_conversion.fb_pixel_purchase,2969,1.22,3608,5387,5387.00,37,1.03,71,1493.07,145.59,31,1,5974,1.11,,,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-19,,actions:offsite_conversion.fb_pixel_purchase,3647,1.08,3942,5788,,38,0.96,70,1468.29,152.32,32,,,,,,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-20,,actions:offsite_conversion.fb_pixel_purchase,3185,1.21,3846,5326,,37,0.96,68,1384.82,143.95,27,,,,,,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-21,1,actions:offsite_conversion.fb_pixel_purchase,3609,1.11,4021,5781,5781.00,51,1.27,86,1437.70,113.35,40,1,7946,1.37,,,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-22,2,actions:offsite_conversion.fb_pixel_purchase,5537,1.11,6155,8087,4043.50,74,1.20,139,1313.89,109.28,57,2,13532,1.67,,,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-23,1,actions:offsite_conversion.fb_pixel_purchase,3958,1.06,4202,6672,6672.00,42,1.00,84,1587.82,158.86,32,1,7089,1.06,,,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-24,1,actions:offsite_conversion.fb_pixel_purchase,3312,1.20,3960,6286,6286.00,46,1.16,75,1587.37,136.65,37,1,5793,0.92,,,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-25,1,actions:offsite_conversion.fb_pixel_purchase,3065,1.06,3258,5119,5119.00,45,1.38,83,1571.21,113.76,39,1,7676,1.50,,,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_カルーセル_人気5選,2026-08-26,1,actions:offsite_conversion.fb_pixel_purchase,3835,1.24,4738,6237,6237.00,49,1.03,94,1316.38,127.29,41,1,5812,0.93,,,7日間のクリックまたは1日間のビュー
