レポート開始日,レポート終了日,キャンペーン名,年齢,性別,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-08-01,2026-08-31,新規獲得_コンバージョン,55-64,male,5,actions:offsite_conversion.fb_pixel_purchase,12979,32001,46404,339,606,5,36040
2026-08-01,2026-08-31,新規獲得_コンバージョン,55-64,unknown,,actions:offsite_conversion.fb_pixel_purchase,1160,2861,4148,27,48,,2148
2026-08-01,2026-08-31,新規獲得_コンバージョン,65+,female,5,actions:offsite_conversion.fb_pixel_purchase,10555,26025,37738,276,493,5,32974
2026-08-01,2026-08-31,新規獲得_コンバージョン,65+,male,2,actions:offsite_conversion.fb_pixel_purchase,6327,15599,22619,156,279,2,14518
2026-08-01,2026-08-31,新規獲得_コンバージョン,65+,unknown,,actions:offsite_conversion.fb_pixel_purchase,629,1552,2250,15,26,,971
2026-08-01,2026-08-31,リターゲティング,18-24,female,6,actions:offsite_conversion.fb_pixel_purchase,5469,13137,29364,225,404,6,48611
2026-08-01,2026-08-31,リターゲティング,18-24,male,2,actions:offsite_conversion.fb_pixel_purchase,2808,6746,15079,94,170,2,15318
2026-08-01,2026-08-31,リターゲティング,18-24,unknown,,actions:offsite_conversion.fb_pixel_purchase,380,913,2041,11,21,,1638
2026-08-01,2026-08-31,リターゲティング,25-34,female,24,actions:offsite_conversion.fb_pixel_purchase,13261,31858,71206,544,980,24,186642
2026-08-01,2026-08-31,リターゲティング,25-34,male,7,actions:offsite_conversion.fb_pixel_purchase,6180,14845,33181,208,374,7,52433
2026-08-01,2026-08-31,リターゲティング,25-34,unknown,1,actions:offsite_conversion.fb_pixel_purchase,637,1530,3420,19,34,1,4118
2026-08-01,2026-08-31,リターゲティング,35-44,female,44,actions:offsite_conversion.fb_pixel_purchase,18186,43689,97649,713,1283,44,334333
2026-08-01,2026-08-31,リターゲティング,35-44,male,12,actions:offsite_conversion.fb_pixel_purchase,7656,18393,41111,271,489,12,88165
2026-08-01,2026-08-31,リターゲティング,35-44,unknown,1,actions:offsite_conversion.fb_pixel_purchase,566,1359,3037,17,30,1,4266
2026-08-01,2026-08-31,リターゲティング,45-54,female,36,actions:offsite_conversion.fb_pixel_purchase,15233,36594,81791,569,1024,36,276959
2026-08-01,2026-08-31,リターゲティング,45-54,male,11,actions:offsite_conversion.fb_pixel_purchase,6896,16567,37030,245,440,11,83826
2026-08-01,2026-08-31,リターゲティング,45-54,unknown,1,actions:offsite_conversion.fb_pixel_purchase,546,1311,2930,16,29,1,4115
2026-08-01,2026-08-31,リターゲティング,55-64,female,14,actions:offsite_conversion.fb_pixel_purchase,7745,18605,41584,275,495,14,108998
2026-08-01,2026-08-31,リターゲティング,55-64,male,5,actions:offsite_conversion.fb_pixel_purchase,4009,9631,21526,135,243,5,38876
2026-08-01,2026-08-31,リターゲティング,55-64,unknown,,actions:offsite_conversion.fb_pixel_purchase,312,750,1676,9,17,,2018
2026-08-01,2026-08-31,リターゲティング,65+,female,4,actions:offsite_conversion.fb_pixel_purchase,2618,6289,14056,88,158,4,28558
2026-08-01,2026-08-31,リターゲティング,65+,male,2,actions:offsite_conversion.fb_pixel_purchase,1927,4630,10350,61,110,2,15446
2026-08-01,2026-08-31,リターゲティング,65+,unknown,,actions:offsite_conversion.fb_pixel_purchase,174,419,936,5,9,,939
2026-08-01,2026-08-31,認知_動画,18-24,female,15561,reach,15561,38691,23864,186,333,1,3772
2026-08-01,2026-08-31,認知_動画,18-24,male,10983,reach,10983,27310,16844,107,193,,1634
2026-08-01,2026-08-31,認知_動画,18-24,unknown,1355,reach,1355,3369,2078,12,21,,159
2026-08-01,2026-08-31,認知_動画,25-34,female,40173,reach,40173,99888,61608,481,861,3,15417
2026-08-01,2026-08-31,認知_動画,25-34,male,23481,reach,23481,58386,36011,230,412,1,5433
2026-08-01,2026-08-31,認知_動画,25-34,unknown,1793,reach,1793,4458,2749,16,28,,316
2026-08-01,2026-08-31,認知_動画,35-44,female,52486,reach,52486,130504,80492,599,1074,4,26310
2026-08-01,2026-08-31,認知_動画,35-44,male,29888,reach,29888,74315,45836,309,553,2,9385
2026-08-01,2026-08-31,認知_動画,35-44,unknown,2234,reach,2234,5555,3426,19,35,,459
2026-08-01,2026-08-31,認知_動画,45-54,female,54872,reach,54872,136439,84152,597,1069,4,27204
2026-08-01,2026-08-31,認知_動画,45-54,male,21178,reach,21178,52659,32479,219,392,1,7019
2026-08-01,2026-08-31,認知_動画,45-54,unknown,1440,reach,1440,3581,2209,13,22,,296
2026-08-01,2026-08-31,認知_動画,55-64,female,29420,reach,29420,73152,45118,304,545,2,11290
2026-08-01,2026-08-31,認知_動画,55-64,male,13104,reach,13104,32584,20097,128,230,1,3465
2026-08-01,2026-08-31,認知_動画,55-64,unknown,1032,reach,1032,2567,1583,9,16,,182
2026-08-01,2026-08-31,認知_動画,65+,female,9051,reach,9051,22504,13879,89,159,,2692
2026-08-01,2026-08-31,認知_動画,65+,male,6534,reach,6534,16247,10021,60,108,,1428
2026-08-01,2026-08-31,認知_動画,65+,unknown,601,reach,601,1494,921,5,9,,88
